Feature,Importance
lainnya,0.13230638156534516
protein_ayam,0.10546050098062917
ayam,0.0957812521158523
ikan,0.09534315286315634
sapi,0.09388491061012001
protein_ikan,0.06827324089285725
protein_sapi,0.06145924682740699
dori,0.03146321204969303
beef,0.019350172116416733
nasi putih,0.01607546627534865
lezat protein_ayam,0.012923998838571212
chicken,0.012003289115699372
bergizi protein_sapi,0.011706276739034929
merah nasi,0.011672228529673956
bergizi protein_ayam,0.011453342790766105
putih,0.01104286120698262
ikan jagung,0.010994740721079692
sapi kentang,0.009976121776042512
lezat protein_ikan,0.009851787558085077
fit,0.009151798483537752
lezat protein_sapi,0.008753058440230976
ayam kentang,0.007964122597923257
nasi merah,0.007413910374889307
ala,0.006743013447718261
flavored,0.006388720565788042
merah,0.00604852245023626
yellow,0.005571028563771342
kalori dan,0.005251194847772042
fit kitchen,0.005126983594022163
chef,0.00498803043726608
ayam jagung,0.00469599728952536
bergizi,0.004176833973511279
kitchen,0.004032810222609217
sehat dan,0.00391329185745994
kentang,0.0038056458794718893
yellow fit,0.0036468253563762794
menu,0.003531531145262868
chef choice,0.0034127956900369292
dan bergizi,0.003340518527097287
daging,0.0032080768112940005
ala yellow,0.0031486463432016127
dan,0.0030410176426252677
saus,0.0030395120006421524
sehat,0.0030335904559010553
kentang nasi,0.002962822024326771
rice,0.002892192663542615
soto,0.0027557867065709195
jagung nasi,0.002687570575290009
rendah,0.002673422139179451
brown rice,0.0025846118150788517
yang,0.002565452934073749
rendah kalori,0.002361517305638183
dan lezat,0.002047089527707656
putih ayam,0.0020037440183931087
protein_ayam cooked,0.001973761959654499
kitchen rendah,0.0019551964284340766
menu chicken,0.0018603141102970344
menu ayam,0.0018511175968877797
blackpepper,0.0018270205428204214
kalori,0.0017058859517563594
cooked,0.0016461310553767155
yang sehat,0.00145321299480064
jagung,0.0013262613221227564
lezat,0.0012115706450322246
egg,0.001139892403370335
teriyaki,0.001104966984783786
choice,0.0010087791534810254
supreme,0.0008493589553679098
protein_ayam flavored,0.0008046344972241771
ubi nasi,0.0008013946347688424
healthy,0.0008000567184207601
cabe,0.0006849618181317888
manis,0.0005577379235735809
premium,0.00055479925935132
kentang ubi,0.0005177233033722684
garlic,0.0005081052289133277
garam,0.00043063023582852196
diet,0.00040087132002297895
rice menu,0.00034431957287563457
putih menu,0.00034345700711610504
ubi,0.0003427368040500581
sambal,0.0003273195989011227
brown,0.0003195661822297255
special,0.00022967937260973812
yellowfit,0.0002262982160155631
asam manis,0.00020938186015178012
lauk,0.00019879173110778608
sayur,0.000148982495034074
tumis,0.00014483450942012838
box,8.344350601683627e-05
with,4.3298897404875296e-05
spesial,3.8462301557775074e-05
bowl,3.0347345753562038e-05
japanese,6.363819413396218e-06
signature,4.461455815653031e-06
healthy yang,4.692205015155284e-17
asam,2.814672548912252e-17
grill,0.0
lengkap,0.0
deluxe,0.0
